Спортсмен,Unnamed: 1,Команда,ДР,Рост,Вес
Таис Балкони,,Бразилия,11.04.1991,164.0,63.0
Мусаеб Абдулрахман Балла,,Катар,19.03.1989,176.0,60.0
Корали Балми,,Франция,,,
Михал Балнер,,Чехия,12.09.1982,,
Габор Балож,,Венгрия,02.09.1990,186.0,80.0
Ксения Балта,,Эстония,01.11.1986,,
Лоренс Бальдауфф,,Австрия,19.11.1974,164.0,57.0
Маргарет Бамгбоуз,,Нигерия,19.10.1993,,
Иван Банзерук,,Украина,09.02.1990,180.0,70.0
Амин Баннур,,Тунис,21.02.1990,197.0,
Келли-Анн Баптист,,Тринидад и Тобаго,14.10.1986,,
Адриен Бар,,Франция,,,
Буи Баравилала,,США,12.07.1991,168.0,74.0
Катаржина Барановска,,Польша,,,
Мэттью Бараноски,,США,27.07.1993,183.0,96.0
Мохаммадреза Барари,,Иран,31.03.1988,,
Энтони Барбар,,Ливан,18.11.1992,,
Шонейси Барбер,,Канада,27.05.1994,191.0,79.0
Алана Барбер,,Новая Зеландия,08.07.1987,,
Вера Барбоза,,Португалия,13.01.1989,168.0,58.0
Нейде Барбоза,,Ангола,23.09.1980,177.0,
Жаде Барбоза,,Бразилия,01.07.1991,151.0,45.0
Уоррен Баргиль,,Франция,28.10.1991,184.0,62.0
Вирхиниа Бардак Мартин,,Аргентина,03.04.1992,,
Ромен Барде,,Франция,09.11.1990,184.0,64.0
Жиованни Баттиста Барди,,Франция,21.05.1987,177.0,85.0
Антонино Барилла,,Италия,28.11.1987,187.0,96.0
Эванс Киплагат Барковет,,Азербайджан,05.03.1988,,
Джейсон Барнетт,,Канада,16.12.1986,165.0,60.0
Тарасью Барнетт,,Ямайка,10.09.1993,,
Эмре Зафер Барнс,,Турция,07.11.1988,178.0,73.0
Томас Барр,,Ирландия,24.07.1992,183.0,73.0
Бронте Барратт,,Австралия,08.02.1989,171.0,59.0
Франсиско Баррето Жуниор,,Бразилия,31.10.1989,175.0,72.0
Дэнни Барретт,,США,23.03.1990,188.0,102.0
Хьюго Барретт,,Канада,04.07.1991,175.0,90.0
Тревор Барри,,Багамские острова,14.06.1983,,
Стив Барри,,Франция,18.04.1991,181.0,85.0
Ноэль Баррионуэво,,Аргентина,15.05.1984,171.0,58.0
Эрик Бернабе Баррондо,,Гватемала,14.06.1991,172.0,60.0
Лусианне Барронкас,,Бразилия,01.04.1988,169.0,64.0
Сара Барроу,,Великобритания,22.10.1988,,
Эстер Барругес Альвина,,Андорра,16.05.1980,164.0,60.0
Татьяна Барсук,,Россия,22.02.1985,,
Дмитрий Барсук,,Россия,21.01.1980,,
Сандер Барт,,Нидерланды,30.04.1988,178.0,76.0
Ян Барта,,Чехия,07.12.1984,,
Данка Бартекова,,Словакия,19.10.1984,170.0,55.0
Тиэнна Бартолетта,,США,30.08.1985,,
Мореа Бару,,Папуа - Новая Гвинея,15.08.1990,162.0,62.0
Мутаз Эсса Баршим,,Катар,24.06.1991,189.0,65.0
Анастасия Барышникова,,Россия,19.12.1990,173.0,68.0
Соня Барьяктарович,,Черногория,11.09.1986,180.0,
Димитри Баску,,Франция,20.07.1987,182.0,72.0
Любовь Басова,,Украина,16.07.1985,162.0,65.0
Рай Бассиль,,Ливан,20.10.1988,,
Полона Батагель,,Словения,07.06.1989,,
Пауло Батиста,,Бразилия,27.01.1993,185.0,90.0
Ноэми Батки,,Италия,12.10.1987,167.0,62.0
Лара Батлер,,Каймановы острова,,,
Дулгуун Батсайхан,,Монголия,26.10.1986,,
Эмили Батти,,Канада,16.06.1988,161.0,48.0
Эндрю Батчарт,,Великобритания,14.10.1991,,
Мартин Бау,,Словения,08.10.1994,,
Эштон Бауман,,Канада,05.01.1993,,
Яки Бауман,,Германия,,,
Марит Бауместер,,Нидерланды,,,
Симона Баумртова,,Чехия,24.08.1991,,
Мераф Бахта,,Швеция,24.06.1989,177.0,51.0
Виталина Бацарашкина,,Россия,01.10.1996,164.0,58.0
Марта Бач,,Испания,17.02.1993,176.0,66.0
Хамдан Баюсуф,,Кения,,,
Есуи Баяр,,Монголия,21.07.2000,,
Бринн Беван,,Великобритания,16.06.1997,162.0,59.0
Эллисон Беверидж,,Канада,01.06.1993,169.0,62.0
Домоник Бедгуд,,Австралия,18.09.1994,,
Алекс Беддус,,Острова Кука,09.07.1995,,
Ненад Бедик,,Сербия,14.04.1989,202.0,96.0
Марко Безьяк,,Словения,26.06.1986,184.0,
Милад Беиги Харчегани,,Азербайджан,01.03.1991,200.0,80.0
Масу Бейкер,,Япония,25.09.1994,178.0,90.0
Тейвис Бейли,,США,06.01.1992,,
Натан Бейли,,Великобритания,24.07.1993,178.0,71.0
Шала Бейо,,Эфиопия,18.01.1996,,
Кимберли Бёйс,,Бельгия,23.04.1989,,
Элизабет Бейсел,,США,18.08.1992,168.0,66.0
Рут Бейтья,,Испания,01.04.1979,191.0,72.0
Николь Бек,,Австралия,28.05.1988,168.0,66.0
Леони Бек,,Германия,27.05.1997,,
Летиция Бек,,Израиль,05.02.1992,175.0,61.0
Яна Бекманн,,Германия,02.05.1983,,
Катя Белаббас,,Алжир,01.02.1996,170.0,65.0
Тея Белак,,Словения,22.04.1994,157.0,48.0
Катерина Беланович,,Беларусь,,,
Жан Беленюк,,Украина,24.01.1991,175.0,87.0
Мими Белете,,Бахрейн,09.06.1988,,
Йехуалей Белетев,,Эфиопия,31.07.1998,,
Кароль Белецки,,Польша,23.01.1982,202.0,
Джонни Белл,,Ирландия,19.06.1987,178.0,77.0
Тиа-Адана Белл,,Барбадос,,,
Дженейл Беллилл,,Тринидад и Тобаго,,,
Валентин Бело,,Франция,16.09.1992,181.0,73.0
Яна Беломоина,,Украина,02.11.1992,164.0,46.0
Вильхем Белосьян,,Франция,22.06.1995,,
Амелия Белотти,,Аргентина,17.11.1988,179.0,
Марко Белотти,,Италия,,,
Мирея Бельмонте Гарсия,,Испания,10.11.1990,170.0,60.0
Амин Бельферар,,Алжир,16.02.1991,,
Давид Белявский,,Россия,23.02.1992,163.0,56.0
Юлия Беляева,,Эстония,21.07.1992,176.0,70.0
Анастасия Белякова,,Россия,01.05.1993,175.0,60.0
Афеф Бен Исмаил,,Тунис,17.03.1994,,
Карем бен Хниа,,Тунис,13.11.1994,165.0,69.0
Амор Бен-Яхья,,Тунис,,,
Альфонсо Бенавидес Лопес де Айала,,Испания,09.03.1991,181.0,84.0
Крис Бенард,,США,04.04.1990,,
Ангелика Бенгтссон,,Швеция,08.07.1993,163.0,51.0
Гарретт Бендер,,США,02.12.1991,194.0,104.0
Микеле Бенедетти,,Италия,17.12.1984,,
Джордано Бенедетти,,Италия,22.05.1989,,
Ян Бензен,,Германия,,,
Бриттани Бенн,,Канада,23.04.1989,165.0,68.0
